country,vaccine,count
United Kingdom,Pfizer/BioNTech,77
United Kingdom,Sinopharm/Beijing,0
United Kingdom,Sinopharm/Wuhan,0
United Kingdom,Sinovac,0
United Kingdom,Sputnik V,0
China,Covaxin,0
China,EpiVacCorona,0
China,Johnson&Johnson,0
China,Moderna,0
China,Oxford/AstraZeneca,0
China,Pfizer/BioNTech,0
China,Sinopharm/Beijing,56
China,Sinopharm/Wuhan,56
China,Sinovac,56
China,Sputnik V,0
United States,Covaxin,0
United States,EpiVacCorona,0
United States,Johnson&Johnson,0
United States,Moderna,71
United States,Oxford/AstraZeneca,0
United States,Pfizer/BioNTech,71
United States,Sinopharm/Beijing,0
United States,Sinopharm/Wuhan,0
United States,Sinovac,0
United States,Sputnik V,0
